tissue,frequency,conductivity,permittivity,loss-tangent,penetration-depth
SkinDry,3.2500e+10, 2.8515e+1, 1.4355e+1, 1.0987e+0, 7.8636e-4
SkinDry,3.2600e+10, 2.8568e+1, 1.4312e+1, 1.1007e+0, 7.8395e-4
SkinDry,3.2700e+10, 2.8620e+1, 1.4269e+1, 1.1026e+0, 7.8157e-4
SkinDry,3.2800e+10, 2.8672e+1, 1.4226e+1, 1.1045e+0, 7.7920e-4
SkinDry,3.2900e+10, 2.8724e+1, 1.4184e+1, 1.1065e+0, 7.7686e-4
SkinDry,3.3000e+10, 2.8776e+1, 1.4142e+1, 1.1084e+0, 7.7453e-4
SkinDry,3.3100e+10, 2.8828e+1, 1.4100e+1, 1.1103e+0, 7.7222e-4
SkinDry,3.3200e+10, 2.8879e+1, 1.4058e+1, 1.1122e+0, 7.6993e-4
SkinDry,3.3300e+10, 2.8930e+1, 1.4017e+1, 1.1141e+0, 7.6766e-4
SkinDry,3.3400e+10, 2.8980e+1, 1.3975e+1, 1.1160e+0, 7.6541e-4
SkinDry,3.3500e+10, 2.9031e+1, 1.3934e+1, 1.1179e+0, 7.6317e-4
SkinDry,3.3600e+10, 2.9081e+1, 1.3893e+1, 1.1198e+0, 7.6095e-4
SkinDry,3.3700e+10, 2.9131e+1, 1.3853e+1, 1.1217e+0, 7.5875e-4
SkinDry,3.3800e+10, 2.9180e+1, 1.3813e+1, 1.1235e+0, 7.5657e-4
SkinDry,3.3900e+10, 2.9229e+1, 1.3772e+1, 1.1254e+0, 7.5440e-4
SkinDry,3.4000e+10, 2.9278e+1, 1.3732e+1, 1.1272e+0, 7.5225e-4
SkinDry,3.4100e+10, 2.9327e+1, 1.3693e+1, 1.1290e+0, 7.5012e-4
SkinDry,3.4200e+10, 2.9376e+1, 1.3653e+1, 1.1309e+0, 7.4800e-4
SkinDry,3.4300e+10, 2.9424e+1, 1.3614e+1, 1.1327e+0, 7.4590e-4
SkinDry,3.4400e+10, 2.9472e+1, 1.3575e+1, 1.1345e+0, 7.4382e-4
SkinDry,3.4500e+10, 2.9520e+1, 1.3536e+1, 1.1363e+0, 7.4175e-4
SkinDry,3.4600e+10, 2.9567e+1, 1.3497e+1, 1.1381e+0, 7.3970e-4
SkinDry,3.4700e+10, 2.9615e+1, 1.3459e+1, 1.1399e+0, 7.3766e-4
SkinDry,3.4800e+10, 2.9662e+1, 1.3420e+1, 1.1416e+0, 7.3564e-4
SkinDry,3.4900e+10, 2.9708e+1, 1.3382e+1, 1.1434e+0, 7.3363e-4
SkinDry,3.5000e+10, 2.9755e+1, 1.3345e+1, 1.1452e+0, 7.3164e-4
SkinDry,3.5100e+10, 2.9801e+1, 1.3307e+1, 1.1469e+0, 7.2966e-4
SkinDry,3.5200e+10, 2.9847e+1, 1.3269e+1, 1.1487e+0, 7.2770e-4
SkinDry,3.5300e+10, 2.9893e+1, 1.3232e+1, 1.1504e+0, 7.2575e-4
SkinDry,3.5400e+10, 2.9939e+1, 1.3195e+1, 1.1521e+0, 7.2382e-4
SkinDry,3.5500e+10, 2.9984e+1, 1.3158e+1, 1.1538e+0, 7.2190e-4
SkinDry,3.5600e+10, 3.0029e+1, 1.3121e+1, 1.1555e+0, 7.1999e-4
